ID,Location
55,Sky Pillar [MT. BATTLE]
56,Secret Base [MT. BATTLE]
57,Ferry [MT. BATTLE]
58,{Pallett Town}[MT. BATTLE]
59,{Viridian City}[MT. BATTLE]
5A,{Pewter City}[MT. BATTLE]
5B,{Cerulean City}[MT. BATTLE]
5C,{Lavender Town}[MT. BATTLE]
5D,{Vermillion City}[MT. BATTLE]
5E,{Celadon City}[MT. BATTLE]
5F,{Fuchsia City}[MT.BTL COLOSSEUM]
60,{Cinnibar Isle}[met at a distant land.]
61,{Indigo Plateau}[met at a distant land.]
62,{Saffron City}[met at a distant land.]
63,{Route 4}[met at a distant land.]
64,{Route 10}[met at a distant land.]
65,{Route 1}[met at a distant land.]
66,{Route 2}[REALGAM TOWER]
67,{Route 3}[REALGAMTWR DOME]
68,{Route 4}[REALGAMTWR DOME]
69,{Route 5}[REALGAMTWR DOME]
6A,{Route 6}[REALGAMTWR DOME]
6B,{Route 7}[REALGAMTWR DOME]
6C,{Route 8}[REALGAMTWR DOME]
6D,{Route 9}[REALGAMTWR DOME]
6E,{Route 10}[REALGAMTWR DOME]
6F,{Route 11}[REALGAMTWR DOME]
70,{Route 12}[REALGAMTWR DOME]
71,{Route 13}[REALGAMTWR DOME]
72,{Route 14}[REALGAMTWR LOBBY]
73,{Route 15}[REALGAM TOWER]
74,{Route 16}[REALGAM TOWER]
75,{Route 17}[REALGAM TOWER]
76,{Route 18}[TOWER COLOSSEUM]
77,{Sea Route 19}[PHENAC CITY]
78,{Sea Route 20}[PYRITE COLOSSEUM]
79,{Sea Route 21}[UNDER COLOSSEUM]
7A,{Route 22}[THE UNDER]
7B,{Route 23}[REALGAM TOWER]
7C,Route 24[REALGAM TOWER]
7D,Route 25[DEEP COLOSSEUM]
7E,Viridian Forest[ORRE COLOSSEUM]
7F,Mt Moon[THE UNDER]
80,SS Anne (Pier)[PHENAC CITY]
81,Underground Path[SNEGEM HIDOUT]
82,Underground Path[SNEGEM HIDOUT]
83,Diglett Cave[SNEGEM HIDOUT]
84,Victory Road[SNEGEM HIDOUT]
85,Team Rocket's Hideout[SNEGEM HIDOUT]
86,Silph Company (Lapras)[SNEGEM HIDOUT]
87,Pokemon Mansion[SNEGEM HIDOUT]
88,Safari Zone[SNEGEM HIDOUT]
89,Pokemon League[SNEGEM HIDOUT]
8A,Rock Tunnel[THE UNDER SUBWAY]
8B,Seafoam Islands[THE UNDER SUBWAY]
8C,Pokemon Tower[LABORATORY]
8D,Cerulean Cave[LABORATORY]
8E,Power Plant[PYRITE COLOSSEUM]
8F,ONE ISLAND[met at a distant land.]
90,TWO ISLAND[met at a distant land.]
91,THREE ISLAND[met at a distant land.]
92,FOUR ISLAND (Nursery)[met at a distant land.]
93,FIVE ISLAND[met at a distant land.]
94,SEVEN ISLAND[met at a distant land.]
95,SIX ISLAND[met at a distant land.]
96,Isle 1-KINDLE ROAD
97,Isle 1-TREASURE BEACH
98,Isle 2-CAPE BRINK
99,Isle 3-BOND BRIDGE
9A,THREE ISLAND PORT
9B,SEVII ISLE 6
9C,SEVII ISLE 7
9D,SEVII ISLE 8
9E,SEVII ISLE 9
9F,RESORT GORGEOUS
A0,Isle 5-WATER LABYRINTH
A1,FIVE ISLE MEADOW
A2,Isle 5-South Sea Route-MEMORIAL PILLAR
A3,OUTCAST ISLAND
A4,GREEN PATH
A5,WATER PATH
A6,RUIN VALLEY
A7,TRAINER TOWER
A8,CANYON ENTRANCE
A9,SEVAULT CANYON
AA,TANOBY RUINS
AB,SEVII ISLE 22
AC,SEVII ISLE 23
AD,SEVII ISLE 24
AE,Isle 8-NAVEL ROCK(Lugia & Ho-oh)
AF,Isle 1-MT. EMBER
B0,BERRY FOREST
B1,Isle 4-ICEFALL CAVE
B2,ROCKET WAREHOUSE
B3,TRAINER TOWER
B4,DOTTED HOLE
B5,Isle 5-LOST CAVE
B6,PATTERN BUSH
B7,ALTERING CAVE
B8,TRNOBY CHAMBERS
B9,THREE ISLE PATH-Tunnel
BA,TANOBY KEY
BB,Isle 9-BIRTH ISLAND(Deoxys)
BC,Iresu Sekisitsu-MONEAN CHAMBER
BD,Nazan Sekisitsu-LIPTOO CHAMBER
BE,Yugo Sekisitsu-WEEPTH CHAMBER
BF,Aleboca Sekisitsu-DILFORD CHAMBER
C0,Kotou Sekisitsu-SCUFIB CHAMBER
C1,Anuza Sekisitsu-RIXY CHAMBER
C2,Oliphu Sekisitsu-VIAPOIS CHAMBER
C3,EMBER SPA
C4,CELADON DEPT.
C5,/Aqua Hideout/
C6,/Magma Hidout/
C7,/Mirage Tower/
C8,/Birth Island-Deoxys/
C9,/Faraway Island-Mew/
CA,/Artisan Cave/
CB,/Marine Cave-Kryogre/
CC,/Underwater/
CD,/Terra Cave-Groudon/
CE,/Underwater/
CF,/Underwater/
D0,/Underwater/
D1,/Desert Underpass/
D2,/Altering Cave/
D3,/Navel Rock-Ho-oh,Lugia/
D4,/Trainer Hill/
D5,D5
D6,D6
D7,D7
D8,D8
D9,D9
DA,DA
DB,DB
DC,DC
DD,DD
DE,DE
DF,DF
E0,E0
E1,E1
E2,E2
E3,E3
E4,E4
E5,E5
E6,E6
E7,E7
E8,E8
E9,E9
EA,EA
EB,EB
EC,EC
ED,ED
EE,EE
EF,EF
F0,F0
F1,F1
F2,F2
F3,F3
F4,F4
F5,F5
F6,F6
F7,F7
F8,F8
F9,F9
FA,FA
FB,FB
FC,FC
FD,FD
FE,In-game Trade
FF,fateful encounter.
